% passé,% actuel,Name,Description,Type
,,    Materiaux,"Surfaces avec différentes propriétés (couleur, brillance, réaction à la lumière...)",group
100,100,        Couleur,Couleur de base du material,
100,100,        Diffuse texture,Encodage de la propriété couleur d'un material dans une texture,
100,100,        Metallic,PBR gestion de la proprieté metalique (ou non metalique) d'un material,
100,100,        Roughness,PBR gestion de la capacité du material a refleter son environnement,
100,100,        Metalic / Rougness mapping,Encodage des propriétés metallic & roughness d'un material dans une texture,
100,100,        Normal,Normal des vertex d'un material,
100,100,        Normal map,"Techniques de pertubations de la normal afin de donner du relief aux modèles 2D ou 3D, ou aux textures.",
100,100,        Ambient occlusion map,Prise en compte de l'exposition du modèle dans la scène,
100,100,        Emissive,"Materiau auto-éclairé, non-affecté par les lumières dans son environnement",
100,100,        Emissive map,Encodage de l'emissive d'un material dans une texture,
,,    Effets,,group
,,        Mapping,,group
0,0,            Parralax bump mapping,Technique avancé de pertubation de la normal,
,,        Shadow Mapping,"Gestion de different type d'ombre (statique, dynamique)",group
0,0,            Shadow map,Technique qui permet d'ajouter des ombres précalculé à une scène. Ce qui permet de gagner en performance comparé aux ombres dynamique.,
0,0,            Cascaded Shadow Maps,Ombres calculées au runtime,
0,0,        Profondeur de champ de vision,Effet de la caméra pour simuler l'effet de focus d'une vraie caméra ,
0,0,        Bloom,Effet qui donne l'impression d'un halo de lumière autour de sa source,
0,100,        Skybox,Gestion de la texture du ciel,
0,0,        High Dynamic Range (HDR),Gestion de nombreux niveaux d'intensité lumineuse,
0,0,        Indirect Lighting,L'environnement influe sur les couleurs de l'objet,
,,    Gestionnaire 2D,Gestion simple des surfaces 2D,group
,,        Fonts,Chargement et affichage simplifié de polices d'écriture,group
100,100,            Chargement de fonts,,
100,100,"            Customisation de couleur, taille",,
100,100,        Dessin 2D (HUD),Afichage d'un menu ou d'une interface,
,,    Optimisations,,group
0,0,        Pipeline cache,Mise en cache de la pipeline 3D,
0,0,        Tesselation,Technique qui permet d'ajouter du détail au mesh en ajoutant des vertices qui n'étaient pas présent dans le mesh de base,
0,0,        Compute Shaders,,
,,,,
,,Bibliothèque math,Librairie de maths multi-plateforme,group
100,100,    Vecteurs,Integration des vecteurs ,
100,100,    Matrices,Integration des matrices,
100,100,    Quaternions,Integration des outils de calculs pour quaternions,
100,100,    Fonctions géométriques,,
100,100,    Tests unitaires,Tests de validation du fonctionnement de la librairie mathématique,
,,,,
,,Bibliothèque système,,group
100,100,    Fenêtres,"Gestion simplifiée des différents inputs (clavier, souris, manette...)",
100,100,    Classe Application,Classe permettant à l'utilisateur de bootstrapper rapidement un programme ouvrant une fenêtre,
,,    Events,,group
100,100,        Clavier,Gestion des evenements clavier,
100,100,        Souris,Gestion des evenements souris,
0,50,        Écran tactile,Gestion des evenements écran tactile,
100,100,    Gestion des librairies partagées,"Chargement de librairies dynamiques multiplateformes (.dll, .so)",
,,    Gestionnaire d'allocation mémoire,Gestion des outils d'allocation mémoire,
100,100,        Basic,,
100,100,        Linear,,
100,100,        Stack,,
80,80,        Tests unitaires,Tests de validation du fonctionnement du gestionnaire d'allocation mémoire,
100,100,    Gestion de timer,Gestion du temps ,
,,    Tâches asynchrones,Gestion des tâches parrallèles,group
0,0,        Threads pool,"Management tool for threading, optimisation",
0,0,        Primitives de synchronisation,Read/Write Mutex,
,,    Gestion des erreurs,Uniformisation et journalisations des erreurs ,group
100,100,"        Debug (assert, etc)","Outils de débug, tels que les asserts",
100,100,        Journalisation des erreurs,"Outil de journalisation de messages d'informations et erreurs (logging), multiplateforme",
100,100,        Uniformisation des erreurs / exceptions,"Système d'exceptions, utilisant le système de journalisation",
100,100,        Tests unitaires des exceptions,Tests de validation du fonctionnement des exceptions,
100,100,        Tests unitaires de la journalisation,Tests de validation du fonctionnement du Logger,
,,,,
,,glTF2-loader,Bibliothèque de chargement de modèles glTF 2.0,group
,,    Build process,Simplification du procédé de compilation multi-platforme,group
100,100,        CMake,"Système de compilation disponible via CMake, permettant la compilation de manière automatisée sur Linux, Windows et Android",
100,100,        CMake Find,Création d'outil utilitaires permettant la recherche et l'integration harmonieuse de nos bibliothèques,
50,95,    Chargement de modèles au format json,Chargement de modèles au format json,
0,0,    Chargement de modèles au format binaire,Chargement de modèles au format binaire,
,,    Chargement de textures,,group
100,100,        PNG,Prise en charge des textures au format PNG,
100,100,        JPG,Prise en charge des textures au format JPG,
100,100,        TGA,Prise en charge des textures au format TGA,
100,100,        BMP,Prise en charge des textures au format BMP,
,,,,
,,lugdunum-glTF2-convertor,Librairie et utilitaire de conversion de glTF 2.0 en un glTF 2.0 qui respecte les contraintes imposés par Lugdunum,group
0,0,    Librairie,,
0,0,    Exécutable,,
,,,,
,,Communication,,group
75,75,    Site vitrine,Site faisant la liaison entre l'équipe de développement et les utilisateurs du moteur de jeu,
0,0,    Dev-Blog,"Site de communication sur les verrous techniques rencontrés par l'équipe, et nos methodes de résolutions",
,,    Documentation,,group
85,85,        Documentation Build Process,Documentation Build Process,
85,85,        Documentation Technique,Documentation Technique,
85,85,        Documentation Utilisateur,Documentation Utilisateur,
,,,,
,,LugBench,,group
,,    Backend,,group
90,100,        RestAPI,RestAPI qui permet la communication entre la base de donnée et le site web / client LugBench,
100,100,        Base de donnée (MongoDB),Base de donnée intégrant tous les résultats des tests lancés par les utilisateurs de LugBench,
,,    Frontend,,group
40,40,        Site web de presentation des données,Site web permettant de récupérer les executables précompiler de LugBench et de visualiser les résultats,
80,80,        Affichage sous forme de tableau,Affichage des tous les resultats de tests lancés par les utilisateurs de LugBench sous forme de tableau avec possibilité de tri des données,
0,0,        Compte utilisateur,,
,,        Build process,Simplification du procédé de compilation multi-platforme,group
100,100,            CMake,"Système de compilation disponible via CMake, permettant la compilation de manière automatisée sur Linux, Windows et Android",
100,100,            Third party integration,Création d'outil utilitaires permettant la recherche et l'integration harmonieuse de nos bibliothèques,
45,45,            Script d'automatisation,Script automatisant la compilation des dépendances externes,
80,80,        GUI de l'application,Partie graphique de l'application LugBench,
100,100,        Récuperation des specs Vulkan,Récupération des toutes les données que Vulkan peut nous fournir à propos de la machine de l'utilisateur,
90,90,        Exécution des scènes,Execution des scènes 3D avec notre moteur Lugdunum afin de benchmarker la machine de l'utilisateur,
90,90,        Upload des specs utilisateur au serveur,Envoi au serveur LugBench des informations et resultats des test de la machine utilisateur via la RestAPI,
0,0,        Détection Hardware,Detection des specs de la machine de l'utilisateur,
0,0,    Intégration Phoronix Test Suite,Gestion du système autonomatisé de benchmarking de Phoronix ,
70,70,    Génération de score,Génération d'un score en se basant sur les FPS obtenus lors de l'affichage de la scene,
